  State,Name,Party
Andhra Pradesh,N. Chandrababu Naidu,Telugu Desam Party
Arunachal Pradesh,Kalikho Pul,People's Party of Arunachal Pradesh
Assam,Tarun Gogoi,Indian National Congress
Bihar,Nitish Kumar,Janata Dal (United)
Chhattisgarh,Raman Singh,Bharatiya Janata Party
Delhi,Arvind Kejriwal,Aam Aadmi Party
Goa,Laxmikant Parsekar,Bharatiya Janata Party
Gujarat,Anandiben Patel,Bharatiya Janata Party
Haryana,Manohar Lal Khattar,Bharatiya Janata Party
Himachal Pradesh,Virbhadra Singh,Indian National Congress
Jammu and Kashmir,Vacant,N/A
Jharkhand,Raghuvar Das,Bharatiya Janata Party
Karnataka,Siddaramaiah,Indian National Congress
Kerala,Oommen Chandy,Indian National Congress
Madhya Pradesh,Shivraj Singh Chouhan,Bharatiya Janata Party
Maharashtra,Devendra Fadnavis,Bharatiya Janata Party
Manipur,Okram Ibobi Singh,Indian National Congress
Meghalaya,Mukul Sangma,Indian National Congress
Mizoram,Lal Thanhawla,Indian National Congress
Nagaland,T. R. Zeliang,Naga People's Front
Odisha,Naveen Patnaik,Biju Janata Dal
Puducherry,N. Rangaswamy,All India N.R. Congress
Punjab,Parkash Singh Badal,Shiromani Akali Dal
Rajasthan,Vasundhara Raje,Bharatiya Janata Party
Sikkim,Pawan Kumar Chamling,Sikkim Democratic Front
Tamil Nadu,Jayalalithaa,All India Anna Dravida Munnetra Kazhagam
Telangana,K. Chandrashekar Rao,Telangana Rashtra Samithi
Tripura,Manik Sarkar,Communist Party of India (Marxist)
Uttar Pradesh,Akhilesh Yadav,Samajwadi Party
Uttarakhand,Harish Rawat,Indian National Congress
West Bengal,Mamata Banerjee,All India Trinamool Congress
