University,State,Location,Section12(B)?,Established,Specialization
A.P. University of Law,Andhra Pradesh,Visakhapatnam,No,2008,Legal
Assam Agricultural University,Assam,Jorhat,Yes,1968,Agriculture
Aryabhatta Knowledge University,Bihar,Patna,Yes,2010,Technology
Panjab University, Chandigarh,Chandigarh,Chandigarh,Yes,1947,General
Ayush and Health Sciences University of Chhattisgarh,Chhattisgarh,Raipur,No,2008,Healthcare
Bharat Ratna Dr. B. R. Ambedkar University,Delhi,New Delhi,Yes,2007,Social sciences
Goa University,Goa,Goa,Yes,1985,General
Anand Agricultural University,Gujarat,Anand,No,2004,Agriculture
Bhagat Phool Singh Mahila Vishwavidyalaya,Haryana,Sonipat,Yes,2006,Women's only
Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,Himachal Pradesh,Palampur,Yes,1978,Agriculture
Baba Ghulam Shah Badhshah University,Jammu and Kashmir,Rajauri,Yes,2005,General
Ranchi University,Jharkhand,Ranchi,Yes,1960,General
Bangalore University,Karnataka,Bangalore,Yes,1964,General
Calicut University,Kerala,Tenhipalam,Yes,1968,General
Awdhesh Pratap Singh University,Madhya Pradesh,Rewa,Yes,1968,General
Dr. Babasaheb Ambedkar Marathwada University,Maharashtra,Aurangabad,Yes,1958,General
Berhampur University,Orissa,Berhampur,Yes,1967,General
Baba Farid University of Health Sciences,Punjab,Faridkot,Yes,2002,Healthcare
Jagadguru Ramanadacharya Rajasthan Sanskrit University,Rajasthan,Jaipur,No,1998,Sanskrit
Alagappa University,Tamil Nadu,Karaikudi,Yes,1985,General
Bundelkhand University,Uttar Pradesh,Jhansi,Yes,1975,General
Doon University,Uttarakhand,Dehradun,Yes,2005,General
Aliah University,West Bengal,Kolkata,No,2007,General
