City,River,State
Agra		Yamuna		Uttar Pradesh
Ahmedabad	Sabarmati	Gujarat
Allahabad	Ganges		Uttar Pradesh
Ayodhya		Saryu		Uttar Pradesh
Badrinath	Alaknanda	Uttarakhand
Banki		Mahanadi	Odisha
Brahmapur	Rushikulya	Odisha
Chhatrapur	Rushikulya	Odisha
Bhagalpur	Ganges		Bihar
Kolkata		hugli		West Bengal
Cuttack		Mahanadi	Odisha
New Delhi	Yamuna		Delhi
Dibrugarh	Brahmaputra	Assam
Ferozpur	Sutlej		Punjab
Guwahati	Brahmaputra	Assam
Haridwar	Ganges		Uttarakhand
Hyderabad	Musi		Telangana
Jabalpur	Narmada		Madhya Pradesh
Kanpur		Ganges		Uttar Pradesh
Kota		Chambal		Rajasthan
Jaunpur		Gomti		Uttar Pradesh
Patna	Ganges	Bihar
Rajahmundry	Godavari	Andhra Pradesh
Srinagar	Jhelum	Jammu & Kashmir
Surat	Tapi	Gujarat
Tiruchirapalli	Kaveri	Tamil Nadu
Varanasi	Ganges	Uttar Pradesh
Vijayawada	Krishna	Andhra Pradesh
Vadodara	Vishwamitri	Gujarat
Mathura	Yamuna	Uttar Pradesh
Mirzapur	Ganga	Uttar Pradesh
Auraiya	Yamuna	Uttar Pradesh
Etawah	Yamuna	Uttar Pradesh
Bangalore	Vrishabhavathi	Karnataka
Farrukhabad	Ganges	Uttar Pradesh
Fatehgarh	Ganges	Uttar Pradesh
Kannauj	Ganges	Uttar Pradesh
Mangalore	Netravati	Karnataka
Shimoga	Tunga River	Karnataka
Bhadravathi	Bhadra	Karnataka
Hospet	Tungabhadra	Karnataka
Karwar	Kali	Karnataka
Bagalkot	Ghataprabha	Karnataka
Honnavar	Sharavathi	Karnataka
Gwalior	Chambal	Madhya Pradesh
Gorakhpur	Rapti	Uttar Pradesh
Lucknow	Gomti	Uttar Pradesh
Kanpur Cantonment	Ganges	Uttar Pradesh
Shuklaganj	Ganges	Uttar Pradesh
Chakeri	Ganges	Uttar Pradesh
Malegaon	Girna River	Maharashtra
Sambalpur	Mahanadi	Odisha
Rourkela	Brahmani	Odisha
Pune	Mula	Maharashtra
Daman	Daman Ganga River	Daman
Madurai	Vaigai	Tamil Nadu
Thiruchirapalli	Kaveri	Tamil Nadu
Chennai	Cooum	Tamil Nadu
Coimbatore	Noyyal	Tamil Nadu
Erode	Kaveri	Tamil Nadu
Tirunelveli	Thamirabarani	Tamil Nadu
Bharuch	Narmada	Gujarat
Karjat	Ulhas	Maharashtra
Nashik	Godavari	Maharashtra
Mahad	Savitri	Maharashtra
Nanded	Godavari	Maharashtra
Kolhapur	Panchaganga	Maharashtra
Nellore	Pennar	Andhra Pradesh
Nizamabad	Godavari	Telangana
Sangli	Krishna	Maharashtra
Karad	Krishna	Maharashtra
Hajipur	Ganges	Bihar
Ujjain	Shipra	Madhya Pradesh

